created_at,entry_id,Temp_x,Humidity,Temp_y,Humidity_y,,
2021-08-24 15:53:01 UTC,7,25,69.09999847,24.79999924,66.69999695,,
2021-08-24 15:53:18 UTC,8,24.79999924,66.69999695,24.70000076,65.59999847,,
2021-08-24 15:53:40 UTC,9,24.70000076,65.59999847,24.60000038,65.09999847,,
2021-08-24 15:53:56 UTC,10,24.60000038,65.09999847,24.5,64.09999847,,
2021-08-24 15:54:16 UTC,11,24.5,64.09999847,24.29999924,63.40000153,,
2021-08-24 15:54:32 UTC,12,24.29999924,63.40000153,24,61.70000076,,
2021-08-24 15:54:49 UTC,13,24,61.70000076,24,61.79999924,,
2021-08-24 15:55:05 UTC,14,24,61.79999924,23.89999962,62.40000153,,
2021-08-24 15:55:22 UTC,15,23.89999962,62.40000153,23.79999924,68.59999847,,
2021-08-24 15:55:39 UTC,16,23.79999924,68.59999847,23.79999924,68.5,,
2021-08-24 15:55:55 UTC,17,23.79999924,68.5,23.89999962,71,,
2021-08-24 15:56:12 UTC,18,23.89999962,71,24,71.19999695,,
2021-08-24 15:56:31 UTC,19,24,71.19999695,24.10000038,71.59999847,,
2021-08-24 15:56:53 UTC,20,24.10000038,71.59999847,24.20000076,71.5,,
2021-08-24 15:57:10 UTC,21,24.20000076,71.5,24.20000076,71.90000153,,
2021-08-24 15:57:26 UTC,22,24.20000076,71.90000153,24.39999962,73.5,,
2021-08-24 15:57:43 UTC,23,24.39999962,73.5,24.60000038,79.09999847,,
2021-08-24 15:58:00 UTC,24,24.60000038,79.09999847,24.60000038,79.19999695,,
2021-08-24 15:58:19 UTC,25,24.60000038,79.19999695,24.79999924,83,,
2021-08-24 15:58:36 UTC,26,24.79999924,83,24.89999962,84.5,,
2021-08-24 15:58:53 UTC,27,24.89999962,84.5,25,86.69999695,,
2021-08-24 15:59:09 UTC,28,25,86.69999695,25.10000038,87.09999847,,
2021-08-24 15:59:26 UTC,29,25.10000038,87.09999847,25.20000076,86.09999847,,
2021-08-24 15:59:43 UTC,30,25.20000076,86.09999847,25.29999924,88,,
2021-08-24 16:00:00 UTC,31,25.29999924,88,25.60000038,87.69999695,,
2021-08-24 16:00:16 UTC,32,25.60000038,87.69999695,25.60000038,88.19999695,,
2021-08-24 16:00:33 UTC,33,25.60000038,88.19999695,25.89999962,89.09999847,,
2021-08-24 16:00:49 UTC,34,25.89999962,89.09999847,25.89999962,89.09999847,,
2021-08-24 16:01:06 UTC,35,25.89999962,89.09999847,26.20000076,91.09999847,,
2021-08-24 16:01:23 UTC,36,26.20000076,91.09999847,26.5,91.40000153,,
2021-08-24 16:01:40 UTC,37,26.5,91.40000153,26.5,91.59999847,,
2021-08-24 16:01:56 UTC,38,26.5,91.59999847,26.60000038,91.19999695,,
2021-08-24 16:02:13 UTC,39,26.60000038,91.19999695,26.5,91.19999695,,
2021-08-24 16:02:30 UTC,40,26.5,91.19999695,26.60000038,91.09999847,,
2021-08-24 16:02:49 UTC,41,26.60000038,91.09999847,26.70000076,91,,
2021-08-24 16:03:06 UTC,42,26.70000076,91,26.70000076,91,,
2021-08-24 16:03:23 UTC,43,26.70000076,91,26.70000076,91,,
2021-08-24 16:03:39 UTC,44,26.70000076,91,26.70000076,91,,
2021-08-24 16:03:56 UTC,45,26.70000076,91,26.70000076,90.90000153,,
2021-08-24 16:04:12 UTC,46,26.70000076,90.90000153,26.70000076,90.5,,
2021-08-24 16:04:29 UTC,47,26.70000076,90.5,26.79999924,90.59999847,,
2021-08-24 16:04:46 UTC,48,26.79999924,90.59999847,26.79999924,90.69999695,,
2021-08-24 16:05:03 UTC,49,26.79999924,90.69999695,26.79999924,90.69999695,,
2021-08-24 16:05:19 UTC,50,26.79999924,90.69999695,26.79999924,90.80000305,,
2021-08-24 16:05:36 UTC,51,26.79999924,90.80000305,26.79999924,90.59999847,,
2021-08-24 16:05:53 UTC,52,26.79999924,90.59999847,26.79999924,90.69999695,,
2021-08-24 16:06:09 UTC,53,26.79999924,90.69999695,26.79999924,90.59999847,,
2021-08-24 16:06:26 UTC,54,26.79999924,90.59999847,26.79999924,90.59999847,,
2021-08-24 16:08:36 UTC,55,26.79999924,90.59999847,26.89999962,90.59999847,, 
2021-08-24 16:08:53 UTC,56,26.89999962,90.59999847,26.89999962,90.59999847,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,',,,,,
